doc_id,x,y,is_anchor,anchor_slot
0,-0.88246829,-0.09564996,0,-1
1,-0.18668469,0.75634452,0,-1
2,0.04799457,0.74818984,0,-1
3,-0.27424263,0.88660726,0,-1
4,0.61547811,0.73478377,0,-1
5,-1.00000000,-1.00000000,1,0
6,-0.81701656,0.56758436,0,-1
7,0.78494217,-0.71929253,0,-1
8,-0.67402887,-0.58034493,0,-1
9,-0.12673645,-0.88752247,0,-1
10,-0.41489151,0.89015186,0,-1
11,0.56003907,-0.83656046,0,-1
12,-0.61183736,0.58137291,0,-1
13,-0.81935884,0.41226790,0,-1
14,-0.11798679,0.90566402,0,-1
15,-0.56680524,-0.75495591,0,-1
16,-0.79787993,-0.72283890,0,-1
17,0.25262972,0.92283755,0,-1
18,0.17852755,-0.54153696,0,-1
19,-0.84331802,0.07209031,0,-1
20,-0.83832504,0.22113956,0,-1
21,0.68050959,-0.82781581,0,-1
22,0.88783607,0.57860809,0,-1
23,-0.33085100,-0.77122413,0,-1
24,-0.74796158,-0.07163747,0,-1
25,1.00000000,0.00000000,1,4
26,0.00000000,1.00000000,1,6
27,0.05935291,-0.84416695,0,-1
28,-0.10273401,-0.68938792,0,-1
29,0.14446455,0.57252186,0,-1
30,-0.63690009,-0.87035753,0,-1
31,-0.43759291,0.60403987,0,-1
32,0.37416504,-0.90847254,0,-1
33,-0.61459822,0.06721168,0,-1
34,0.06061005,0.90774332,0,-1
35,-0.74124780,-0.26353446,0,-1
36,-0.86124309,-0.25381134,0,-1
37,0.73281466,-0.58921031,0,-1
38,0.89408505,0.42843927,0,-1
39,0.89794705,-0.41006775,0,-1
40,-0.62581510,0.37984493,0,-1
41,-0.63354497,0.84283240,0,-1
42,0.89420250,-0.09094192,0,-1
43,0.75845929,0.50094763,0,-1
44,1.00000000,-1.00000000,1,1
45,-0.43903067,0.42519054,0,-1
46,-0.43545647,0.76025584,0,-1
47,0.76173367,-0.41865385,0,-1
48,1.00000000,1.00000000,1,2
49,-0.26412386,-0.62103484,0,-1
50,-0.34182119,0.32055682,0,-1
51,-1.00000000,0.00000000,1,5
52,-0.42854714,-0.60562101,0,-1
53,0.56356533,0.09808640,0,-1
54,0.71915527,0.83707566,0,-1
55,0.79786595,0.71019582,0,-1
56,-0.18514417,0.23430864,0,-1
57,0.20219603,-0.88689564,0,-1
58,0.60231583,-0.44586230,0,-1
59,0.15323799,0.91529938,0,-1
60,0.32602739,-0.25506591,0,-1
61,-0.12958313,0.06695972,0,-1
62,-0.34655223,-0.90017235,0,-1
63,0.35314505,0.13936882,0,-1
64,0.00000000,0.00000000,1,8
65,0.58336720,-0.61574279,0,-1
66,-0.15035253,-0.35687756,0,-1
67,0.91607592,0.21597917,0,-1
68,0.78168543,-0.09166995,0,-1
69,0.21247338,-0.74454942,0,-1
70,0.85350162,-0.54532192,0,-1
71,-0.59918372,0.23594398,0,-1
72,0.65647136,0.24248826,0,-1
73,0.85464886,0.07022979,0,-1
74,0.54652560,0.88150957,0,-1
75,0.88684282,-0.24591816,0,-1
76,0.55740099,-0.28813812,0,-1
77,-0.16799520,0.58500303,0,-1
78,0.15382769,-0.08078273,0,-1
79,-0.80366478,0.72143311,0,-1
80,0.39055923,0.89670096,0,-1
81,0.24812897,0.31273020,0,-1
82,-0.83553476,-0.46459090,0,-1
83,0.40979978,-0.51601315,0,-1
84,-1.00000000,1.00000000,1,3
85,0.42068969,0.48205793,0,-1
86,-0.33602323,0.08035178,0,-1
87,0.32326846,0.72509121,0,-1
88,0.57105892,0.48098599,0,-1
89,-0.53305354,-0.14754697,0,-1
90,0.48333020,-0.05414148,0,-1
91,-0.00490076,0.42133554,0,-1
92,-0.62005886,-0.42471777,0,-1
93,0.06536580,-0.35177377,0,-1
94,0.00000000,-1.00000000,1,7
95,0.78072276,-0.25597081,0,-1
96,-0.43497652,-0.33997856,0,-1
97,-0.25682891,-0.17854667,0,-1
98,0.39275423,-0.77087701,0,-1
99,0.07955976,0.23498773,0,-1
